other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.524,0.164,,,,0.437,,1.396,,,0.055
0.527,0.165,,0.61,0.003,0.429,,1.368,,,0.052
0.543,0.17,,3.03,0.016,0.43,,1.373,,,0.05
0.559,0.175,,2.941,0.016,0.431,,1.376,,,0.049
0.549,0.172,,-1.714,-0.01,0.412,,1.315,,,0.045
0.591,0.185,,7.558,0.041,0.431,,1.375,,,0.045
0.603,0.189,,2.162,0.013,0.428,,1.366,,,0.043
0.622,0.195,,3.175,0.019,0.429,,1.37,,,0.043
0.642,0.201,,3.077,0.019,0.43,,1.371,,,0.041
0.661,0.207,,2.985,0.019,0.43,,1.372,,,0.039
0.696,0.218,,5.314,0.035,0.44,,1.404,,,0.037
0.753,0.236,,8.257,0.057,0.462,,1.476,,,0.037
0.734,0.23,,-2.542,-0.019,0.438,,1.398,,,0.035
0.747,0.234,,1.739,0.013,0.433,,1.383,,,0.035
0.859,0.269,,14.957,0.112,0.484,,1.545,0.104,,0.038
1.973,0.659,,144.981,1.114,1.153,,3.452,0.244,,0.086
1.973,0.658,,-0.152,0.0,1.119,,3.355,0.235,,0.084
1.884,0.626,,-4.863,-0.089,1.036,,3.116,0.212,,0.075
1.855,0.617,,-1.438,-0.029,0.993,,2.986,0.201,,0.073
2.456,0.806,,30.592,0.601,1.263,,3.849,0.253,,0.094
2.518,0.822,,1.985,0.061,1.254,,3.844,0.253,,0.097
2.629,0.854,,3.918,0.112,1.271,,3.913,0.26,,0.099
2.934,0.949,,11.175,0.305,1.378,,4.258,0.28,,0.111
2.61,0.847,,-10.815,-0.324,1.198,,3.695,0.241,,0.095
3.145,1.028,,21.468,0.534,1.42,,4.342,0.284,,0.11
3.908,1.268,,23.275,0.763,1.707,,5.261,0.332,,0.134
4.328,1.396,,10.14,0.42,1.834,,5.685,0.348,,0.145
5.356,1.724,,23.478,1.029,2.211,,6.868,0.424,,0.177
5.315,1.71,,-0.838,-0.041,2.14,,6.651,0.408,,0.17
7.232,2.63,0.43,35.327,1.917,3.211,0.525,8.831,0.625,0.102,0.226
7.437,2.65,0.48,3.119,0.205,3.157,0.572,8.859,0.606,0.11,0.225
7.325,2.59,0.39,-1.842,-0.112,3.009,0.453,8.512,0.56,0.084,0.218
8.252,2.77,0.79,14.686,0.927,3.139,0.895,9.352,0.571,0.163,0.235
9.303,3.22,1.03,13.415,1.051,3.559,1.138,10.282,0.625,0.2,0.246
9.397,3.85,1.0,1.21,0.094,4.149,1.078,10.127,0.719,0.187,0.248
11.81,3.68,1.01,24.898,2.413,3.867,1.061,12.408,0.66,0.181,0.306
9.803,3.58,1.02,-16.393,-2.007,3.666,1.045,10.039,0.614,0.175,0.245
10.172,3.84,1.19,3.984,0.369,3.832,1.188,10.152,0.648,0.201,0.24
10.974,4.36,1.36,8.972,0.802,4.24,1.323,10.673,0.732,0.228,0.254
11.493,4.52,1.47,5.338,0.519,4.283,1.393,10.891,0.682,0.222,0.258
12.089,4.68,1.51,5.004,0.596,4.323,1.395,11.166,0.699,0.225,0.269
12.521,4.57,1.59,3.852,0.432,4.114,1.431,11.272,0.657,0.229,0.268
13.566,5.09,1.91,9.089,1.045,4.464,1.675,11.898,0.714,0.268,0.283
16.062,6.83,3.21,21.914,2.497,5.836,2.743,13.725,0.924,0.434,0.326
20.12,8.87,4.48,28.541,4.058,7.385,3.73,16.751,1.165,0.589,0.398
20.435,8.74,4.69,1.58,0.315,7.094,3.806,16.585,1.136,0.61,0.394
21.779,8.96,4.87,6.824,1.344,7.092,3.855,17.239,1.121,0.609,0.41
23.124,9.12,5.17,7.278,1.345,7.041,3.991,17.852,1.119,0.634,0.426
23.529,9.09,5.24,1.416,0.406,6.846,3.947,17.722,1.098,0.633,0.423
22.485,8.72,5.06,-4.124,-1.045,6.409,3.719,16.525,1.08,0.627,0.427
22.461,8.89,5.12,0.031,-0.024,6.379,3.674,16.116,1.059,0.61,0.4
23.925,8.688,,7.109,1.463,6.089,,16.769,0.973,,0.425
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.524,0.164,,,,,,,,,0.055
0.527,0.165,,0.61,0.003,,,,,,0.052
0.543,0.17,,3.03,0.016,,,,,,0.05
0.559,0.175,,2.941,0.016,,,,,,0.049
0.549,0.172,,-1.714,-0.01,,,,,,0.045
0.591,0.185,,7.558,0.041,,,,,,0.045
0.603,0.189,,2.162,0.013,,,,,,0.043
0.622,0.195,,3.175,0.019,,,,,,0.043
0.642,0.201,,3.077,0.019,,,,,,0.041
0.661,0.207,,2.985,0.019,,,,,,0.039
0.696,0.218,,5.314,0.035,,,,,,0.037
0.753,0.236,,8.257,0.057,,,,,,0.037
0.734,0.23,,-2.542,-0.019,,,,,,0.035
0.747,0.234,,1.739,0.013,,,,,,0.035
0.859,0.269,,14.957,0.112,,,,0.104,,0.038
1.973,0.659,,144.981,1.114,,,,0.244,,0.086
1.973,0.658,,-0.152,0.0,,,,0.235,,0.084
1.884,0.626,,-4.863,-0.089,,,,0.212,,0.075
1.855,0.617,,-1.438,-0.029,,,,0.201,,0.073
2.456,0.806,,30.592,0.601,,,,0.253,,0.094
2.518,0.822,,1.985,0.061,,,,0.253,,0.097
2.629,0.854,,3.918,0.112,,,,0.26,,0.099
2.934,0.949,,11.175,0.305,,,,0.28,,0.111
2.61,0.847,,-10.815,-0.324,,,,0.241,,0.095
3.145,1.028,,21.468,0.534,,,,0.284,,0.11
3.908,1.268,,23.275,0.763,,,,0.332,,0.134
4.328,1.396,,10.14,0.42,,,,0.348,,0.145
5.356,1.724,,23.478,1.029,,,,0.424,,0.177
5.315,1.71,,-0.838,-0.041,,,,0.408,,0.17
7.232,2.314,,35.327,1.917,,,,0.526,,0.226
7.437,2.386,,3.119,0.205,,,,0.52,,0.225
7.325,2.342,,-1.842,-0.112,,,,0.48,,0.218
8.252,2.686,,14.686,0.927,,,,0.528,,0.235
9.303,3.046,,13.415,1.051,,,,0.563,,0.246
9.397,3.083,,1.21,0.094,,,,0.55,,0.248
11.81,3.851,,24.898,2.413,,,,0.657,,0.306
9.803,3.22,,-16.393,-2.007,,,,0.527,,0.245
10.172,3.348,,3.984,0.369,,,,0.537,,0.24
10.974,3.648,,8.972,0.802,,,,0.579,,0.254
11.493,3.843,,5.338,0.519,,,,0.571,,0.258
12.089,4.035,,5.004,0.596,,,,0.586,,0.269
12.521,4.191,,3.852,0.432,,,,0.58,,0.268
13.566,4.572,,9.089,1.045,,,,0.613,,0.283
16.062,5.573,,21.914,2.497,,,,0.724,,0.326
20.12,7.164,,28.541,4.058,,,,0.907,,0.398
20.435,7.277,,1.58,0.315,,,,0.91,,0.394
21.779,7.774,,6.824,1.344,,,,0.941,,0.41
23.124,8.34,,7.278,1.345,,,,0.982,,0.426
23.529,8.458,,1.416,0.406,,,,0.975,,0.423
22.485,8.109,,-4.124,-1.045,,,,0.951,,0.427
22.461,8.111,,0.031,-0.024,,,,0.904,,0.4
23.925,8.688,,7.109,1.463,,,,0.973,,0.425
,2.63,0.43,,,,,,0.625,0.102,
,2.65,0.48,,,,,,0.606,0.11,
,2.59,0.39,,,,,,0.56,0.084,
,2.77,0.79,,,,,,0.571,0.163,
,3.22,1.03,,,,,,0.625,0.2,
,3.85,1.0,,,,,,0.719,0.187,
,3.68,1.01,,,,,,0.66,0.181,
,3.58,1.02,,,,,,0.614,0.175,
,3.84,1.19,,,,,,0.648,0.201,
,4.36,1.36,,,,,,0.732,0.228,
,4.52,1.47,,,,,,0.682,0.222,
,4.68,1.51,,,,,,0.699,0.225,
,4.57,1.59,,,,,,0.657,0.229,
,5.09,1.91,,,,,,0.714,0.268,
,6.83,3.21,,,,,,0.924,0.434,
,8.87,4.48,,,,,,1.165,0.589,
,8.74,4.69,,,,,,1.136,0.61,
,8.96,4.87,,,,,,1.121,0.609,
,9.12,5.17,,,,,,1.119,0.634,
,9.09,5.24,,,,,,1.098,0.633,
,8.72,5.06,,,,,,1.08,0.627,
,8.89,5.12,,,,,,1.059,0.61,
,9.48,5.69,,,,,,1.058,0.635,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,,,,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
